Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-12-02,8:00p,New Orleans Pelicans,118.0,Chicago Bulls,124.0
2023-12-02,8:00p,Indiana Pacers,144.0,Miami Heat,129.0
2023-12-02,8:00p,Atlanta Hawks,121.0,Milwaukee Bucks,132.0
2023-12-02,9:00p,Oklahoma City Thunder,126.0,Dallas Mavericks,120.0
2023-12-02,9:00p,Memphis Grizzlies,109.0,Phoenix Suns,116.0
2023-12-02,9:30p,Portland Trail Blazers,113.0,Utah Jazz,118.0
2023-12-02,10:00p,Denver Nuggets,117.0,Sacramento Kings,123.0
2023-12-02,10:30p,Houston Rockets,97.0,Los Angeles Lakers,107.0
2023-12-04,7:30p,Boston Celtics,112.0,Indiana Pacers,122.0
2023-12-04,10:00p,New Orleans Pelicans,127.0,Sacramento Kings,117.0
2023-12-05,7:30p,New York Knicks,122.0,Milwaukee Bucks,146.0
2023-12-05,10:00p,Phoenix Suns,103.0,Los Angeles Lakers,106.0
2023-12-06,7:00p,Orlando Magic,111.0,Cleveland Cavaliers,121.0
2023-12-06,7:00p,Memphis Grizzlies,116.0,Detroit Pistons,102.0
2023-12-06,7:00p,Philadelphia 76ers,131.0,Washington Wizards,126.0
2023-12-06,7:30p,Brooklyn Nets,114.0,Atlanta Hawks,113.0
2023-12-06,7:30p,San Antonio Spurs,94.0,Minnesota Timberwolves,102.0
2023-12-06,7:30p,Miami Heat,112.0,Toronto Raptors,103.0
2023-12-06,8:00p,Charlotte Hornets,100.0,Chicago Bulls,111.0
2023-12-06,8:00p,Oklahoma City Thunder,101.0,Houston Rockets,110.0
2023-12-06,8:30p,Utah Jazz,97.0,Dallas Mavericks,147.0
2023-12-06,10:00p,Portland Trail Blazers,106.0,Golden State Warriors,110.0
2023-12-06,10:00p,Denver Nuggets,102.0,Los Angeles Clippers,111.0
2023-12-07,5:00p,Indiana Pacers,128.0,Milwaukee Bucks,119.0
2023-12-07,9:00p,New Orleans Pelicans,89.0,Los Angeles Lakers,133.0
2023-12-08,7:00p,Toronto Raptors,116.0,Charlotte Hornets,119.0
2023-12-08,7:00p,Detroit Pistons,91.0,Orlando Magic,123.0
2023-12-08,7:00p,Atlanta Hawks,114.0,Philadelphia 76ers,125.0
2023-12-08,7:30p,New York Knicks,123.0,Boston Celtics,133.0
2023-12-08,7:30p,Washington Wizards,97.0,Brooklyn Nets,124.0
2023-12-08,8:00p,Minnesota Timberwolves,127.0,Memphis Grizzlies,103.0
2023-12-08,8:00p,Cleveland Cavaliers,111.0,Miami Heat,99.0
2023-12-08,8:00p,Golden State Warriors,136.0,Oklahoma City Thunder,138.0
2023-12-08,8:30p,Chicago Bulls,121.0,San Antonio Spurs,112.0
2023-12-08,9:00p,Houston Rockets,114.0,Denver Nuggets,106.0
2023-12-08,9:00p,Sacramento Kings,114.0,Phoenix Suns,106.0
2023-12-08,10:00p,Dallas Mavericks,125.0,Portland Trail Blazers,112.0
2023-12-08,10:00p,Los Angeles Clippers,117.0,Utah Jazz,103.0
2023-12-09,8:30p,Indiana Pacers,109.0,Los Angeles Lakers,123.0
2023-12-11,7:00p,Miami Heat,116.0,Charlotte Hornets,114.0
2023-12-11,7:00p,Indiana Pacers,131.0,Detroit Pistons,123.0
2023-12-11,7:00p,Cleveland Cavaliers,94.0,Orlando Magic,104.0
2023-12-11,7:00p,Washington Wizards,101.0,Philadelphia 76ers,146.0
2023-12-11,7:30p,Denver Nuggets,129.0,Atlanta Hawks,122.0
2023-12-11,7:30p,Toronto Raptors,130.0,New York Knicks,136.0
2023-12-11,8:00p,San Antonio Spurs,82.0,Houston Rockets,93.0
2023-12-11,8:00p,Dallas Mavericks,120.0,Memphis Grizzlies,113.0
2023-12-11,8:00p,Chicago Bulls,129.0,Milwaukee Bucks,133.0
2023-12-11,8:00p,Minnesota Timberwolves,107.0,New Orleans Pelicans,121.0
2023-12-11,8:00p,Utah Jazz,120.0,Oklahoma City Thunder,134.0
2023-12-11,10:00p,Brooklyn Nets,118.0,Sacramento Kings,131.0
2023-12-11,10:30p,Portland Trail Blazers,127.0,Los Angeles Clippers,132.0
2023-12-12,7:30p,Cleveland Cavaliers,113.0,Boston Celtics,120.0
2023-12-12,7:30p,Los Angeles Lakers,125.0,Dallas Mavericks,127.0
